actor,character,first_appearance,company,purchase_date,shares,Date,Open,High,Low,Close,Volume,OpenInt,Unnamed: 0,make,fuel_type,aspiration,num_of_doors,body_style,drive_wheels,engine_location,wheel_base,length,width,height,curb_weight,engine_type,num_of_cylinders,engine_size,fuel_system,compression_ratio,horsepower,peak_rpm,city_mpg,highway_mpg,price
,,,,,,,,,,,,,204.0,volvo,diesel,turbo,four,sedan,rwd,front,109.1,188.8,68.9,55.5,3217.0,ohc,six,145.0,idi,23.0,106,4800,26.0,27.0,22470
,,,,,,,,,,,,,205.0,volvo,gas,turbo,four,sedan,rwd,front,109.1,188.8,68.9,55.5,3062.0,ohc,four,141.0,mpfi,9.5,114,5400,19.0,25.0,22625
,,,,,,2018-10-16,19.13,19.85,19.0,19.4,61787.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2018-10-17,19.62,19.65,18.86,19.08,90567.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2018-10-20,19.2,19.2,18.53,19.03,71667.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2018-10-21,19.09,19.5,19.0,19.32,91042.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2018-10-22,19.41,21.02,19.2,20.52,312342.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2018-10-23,20.41,22.23,20.41,21.05,80998.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2018-10-24,21.24,22.32,21.06,22.0,155610.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2018-10-27,22.0,22.65,21.9,22.03,200604.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2018-10-28,21.97,22.1,21.82,22.0,54810.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2018-10-29,21.99,22.0,21.33,21.39,197761.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2018-10-30,21.23,21.38,21.14,21.2,65404.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2018-10-31,21.45,22.14,21.0,21.78,310829.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2018-11-03,22.04,22.44,21.63,22.0,43862.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2018-11-04,22.16,22.39,21.77,21.85,31693.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2018-11-05,21.82,22.0,21.0,21.6,39658.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2018-11-06,21.5,26.4,21.15,23.35,488797.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2018-11-07,24.1,26.5,23.49,25.5,122556.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2018-11-10,25.71,27.31,24.67,26.48,79492.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2018-11-11,26.78,27.0,24.2,24.96,174476.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2018-11-12,25.77,25.84,24.85,25.0,182185.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2018-11-13,24.84,27.15,24.84,26.76,105088.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2018-11-14,26.96,26.96,25.57,26.46,107302.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2018-11-17,26.99,29.67,26.0,28.03,163422.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2018-11-18,27.99,30.0,27.99,29.35,87581.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2018-11-19,29.55,30.08,29.14,29.14,90963.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2018-11-20,29.23,29.6,26.92,27.02,104851.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2018-11-21,27.34,27.58,25.27,26.04,125439.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2018-11-24,26.05,28.85,25.89,26.6,120651.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2018-11-25,26.76,29.4,26.65,28.44,64021.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2018-11-26,28.32,29.43,27.84,28.78,33413.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2018-11-28,29.25,29.4,27.81,28.86,57934.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2018-12-01,28.52,29.66,27.95,29.59,86745.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2018-12-02,30.09,32.88,30.09,31.61,81265.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2018-12-03,31.8,32.49,31.11,31.11,58769.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2018-12-04,30.83,32.2,30.1,30.46,80967.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2018-12-05,31.04,32.13,30.7,31.71,45372.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2018-12-08,31.65,33.32,30.89,31.0,61893.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2018-12-09,30.86,32.64,30.25,32.41,61320.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2018-12-10,32.72,32.76,28.58,29.59,84318.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2018-12-11,30.1,31.5,29.59,29.78,59179.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2018-12-12,29.32,30.83,29.04,29.96,57381.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2018-12-15,30.0,30.39,28.67,29.7,143258.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2018-12-16,29.77,30.57,29.06,29.4,88336.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2018-12-17,29.21,30.33,27.02,29.75,151480.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2018-12-18,30.14,30.52,28.69,29.79,100964.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2018-12-19,29.93,30.89,28.79,29.5,633651.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2018-12-22,29.5,30.01,29.34,29.6,44651.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2018-12-23,29.56,29.9,28.62,29.5,96828.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2018-12-24,29.39,29.8,29.2,29.35,27941.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2018-12-26,29.48,30.0,29.29,29.76,20480.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2018-12-29,29.59,29.98,29.28,29.89,52957.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2018-12-30,29.33,31.26,29.16,30.96,69530.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2018-12-31,30.78,31.5,30.64,30.92,37960.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-01-02,30.87,31.58,29.22,30.21,45433.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-01-05,30.19,30.76,29.56,29.73,32816.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-01-06,29.84,29.84,28.29,29.38,62599.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-01-07,29.76,29.94,28.5,28.64,51521.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-01-08,28.96,29.51,28.57,29.37,73646.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-01-09,29.38,30.4,28.83,30.13,71245.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-01-12,30.31,30.61,29.05,29.27,35232.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-01-13,29.5,29.87,28.5,29.73,80414.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-01-14,29.42,29.77,28.85,29.65,24390.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-01-15,29.88,29.88,28.4,28.7,61447.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-01-16,28.55,30.15,28.51,30.13,64465.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-01-20,30.04,30.04,28.28,29.06,69950.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-01-21,28.88,29.91,28.5,28.96,42491.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-01-22,28.87,29.39,28.13,29.07,77508.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-01-23,29.07,29.07,27.89,27.89,43830.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-01-26,27.74,28.3,27.59,28.3,92120.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-01-27,28.16,28.94,27.69,27.72,31331.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-01-28,27.8,27.92,26.35,26.62,56490.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-01-29,26.6,26.6,25.82,26.27,66378.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-01-30,26.23,26.27,25.26,25.52,155255.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-02-02,25.71,25.71,25.0,25.59,63592.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-02-03,25.65,27.84,25.64,27.46,27089.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-02-04,27.49,27.77,27.06,27.34,54144.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-02-05,27.66,28.66,26.42,28.5,73870.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-02-06,28.41,29.61,28.22,28.66,48593.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-02-09,28.75,28.82,27.69,28.15,51657.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-02-10,28.4,29.26,27.64,27.92,65007.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-02-11,27.85,28.19,27.52,27.91,19904.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-02-12,27.96,29.76,27.71,28.2,52126.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-02-13,28.51,29.33,28.23,29.11,39212.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-02-17,29.31,29.71,29.21,29.36,18925.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-02-18,29.17,30.27,29.16,29.45,35211.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-02-19,29.58,29.58,29.22,29.38,9343.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-02-20,29.51,30.54,29.2,30.39,94039.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-02-23,30.07,32.15,30.07,32.1,84609.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-02-24,32.0,33.5,31.99,33.26,159173.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-02-25,33.75,37.7,33.51,37.33,174032.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-02-26,37.7,38.43,36.27,36.61,150677.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-02-27,36.5,37.25,34.59,35.99,140884.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-03-02,36.03,38.14,33.27,34.27,315900.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-03-03,31.6,32.36,29.75,30.73,856300.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-03-04,30.79,33.13,30.24,32.66,492800.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-03-05,32.54,32.54,31.32,32.1,201300.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-03-06,31.84,31.93,29.16,29.3,379300.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-03-09,28.75,28.95,26.0,26.2,387900.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-03-10,26.22,26.22,25.33,25.8,319000.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-03-11,25.7,26.04,23.94,24.65,292400.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-03-12,24.8,26.95,24.78,26.13,715900.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-03-13,25.96,28.67,25.96,27.74,560200.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-03-16,28.03,28.96,28.0,28.79,166400.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-03-17,28.65,30.74,28.65,29.54,387200.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-03-18,29.45,29.98,29.37,29.77,120700.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-03-19,29.71,30.23,29.17,30.19,174400.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-03-20,31.58,31.58,30.26,30.71,162200.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-03-23,30.67,30.99,27.71,28.8,254400.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-03-24,28.59,29.1,28.14,28.14,50500.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-03-25,28.25,28.6,26.93,27.97,278300.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-03-26,27.69,28.6,27.69,28.08,48700.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-03-27,28.38,30.86,28.36,29.27,193100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-03-30,29.38,30.67,29.24,29.86,153600.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-03-31,29.79,30.93,29.66,30.58,239100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-04-01,30.58,31.76,30.44,30.73,167600.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-04-02,30.69,31.13,30.52,30.99,145600.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-04-06,30.7,30.88,30.28,30.59,121300.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-04-07,30.75,32.75,30.7,32.32,202169.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-04-08,32.49,32.5,30.54,31.54,187900.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-04-09,31.68,32.68,31.29,31.86,88555.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-04-10,32.08,32.5,30.77,32.1,182100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-04-13,32.27,32.27,30.91,31.16,106700.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-04-14,31.27,31.4,30.78,31.11,149900.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-04-15,31.0,32.79,30.94,32.02,252585.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-04-16,31.62,32.29,31.18,31.93,93566.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-04-17,31.65,31.87,31.5,31.62,96500.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-04-20,31.74,33.85,31.35,33.0,134552.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-04-21,33.14,33.35,32.68,33.11,67349.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-04-22,33.1,33.39,32.5,33.25,71138.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-04-23,33.46,34.5,32.86,33.04,190800.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-04-24,33.0,33.25,32.16,32.36,99100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-04-27,32.66,32.99,31.31,31.41,103700.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-04-28,31.15,31.79,30.61,31.75,175300.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-04-29,31.66,32.01,30.4,31.31,205700.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-04-30,34.75,35.4,33.19,34.66,721900.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-05-01,34.81,34.81,32.5,34.43,182500.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-05-04,34.73,34.84,32.98,34.21,161800.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-05-05,34.1,34.2,31.91,32.0,130700.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-05-06,32.15,32.15,30.61,31.02,137923.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-05-07,30.69,31.56,30.0,30.98,115302.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-05-08,31.39,31.72,30.88,31.68,86100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-05-11,31.81,33.46,31.73,32.79,128800.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-05-12,32.56,33.89,32.4,33.6,190637.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-05-13,34.09,35.0,33.8,34.19,210100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-05-14,34.61,36.83,34.25,36.38,291700.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-05-15,36.46,37.46,36.12,37.01,250912.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-05-18,37.12,39.05,36.71,37.65,783775.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-05-19,37.79,37.86,35.85,35.98,213700.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-05-20,36.0,36.43,35.62,35.69,233400.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-05-21,35.85,38.15,35.6,37.95,559000.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-05-22,38.18,39.98,37.52,39.35,275100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-05-26,39.4,39.75,37.74,38.31,102443.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-05-27,38.6,39.18,38.33,38.73,110500.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-05-28,38.56,39.0,38.31,38.55,70207.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-05-29,38.53,38.88,37.82,38.86,185000.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-06-01,38.86,39.59,38.73,39.04,128700.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-06-02,38.9,39.62,38.43,38.91,82981.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-06-03,39.17,42.12,39.17,41.48,543900.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-06-04,41.34,42.08,40.98,41.67,256300.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-06-05,41.35,42.21,41.26,41.87,189500.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-06-08,41.9,43.25,41.35,41.75,224700.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-06-09,42.24,42.24,37.54,39.16,258225.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-06-10,39.45,43.74,39.33,43.39,343394.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-06-11,43.58,45.48,42.88,43.52,269383.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-06-12,43.32,43.62,41.88,43.17,82600.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-06-15,42.88,43.0,41.77,42.61,319000.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-06-16,42.53,43.5,41.98,43.43,139400.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-06-17,43.65,44.0,42.46,43.32,209700.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-06-18,43.42,43.85,43.25,43.61,155600.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-06-19,43.58,44.4,43.27,44.28,165300.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-06-22,44.39,44.89,43.87,44.22,134100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-06-23,44.17,45.24,43.88,44.16,235213.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-06-24,44.5,44.64,42.94,43.0,257700.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-06-25,43.14,43.76,42.71,43.43,159500.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-06-26,43.43,43.48,42.33,43.17,304400.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-06-29,42.17,43.9,41.8,43.07,102800.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-06-30,43.35,43.87,42.68,43.56,115658.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-07-01,43.86,44.5,41.77,42.94,131600.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-07-02,43.17,45.0,43.0,44.75,157800.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-07-06,44.22,46.6,44.03,44.7,353700.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-07-07,45.35,45.35,42.7,43.19,293300.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-07-08,42.61,43.11,39.59,40.88,293900.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-07-09,42.15,44.23,41.57,43.61,183300.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-07-10,44.09,44.2,41.7,42.41,165500.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-07-13,42.61,44.17,42.37,43.7,219200.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-07-14,43.47,43.85,42.75,43.46,145020.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-07-15,43.37,43.95,42.72,42.83,186544.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-07-16,42.83,43.82,42.11,43.32,226700.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-07-17,43.49,43.83,40.6,41.84,282900.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-07-20,42.05,42.57,40.67,40.98,160200.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-07-21,41.3,41.3,37.69,38.98,721900.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-07-22,38.99,39.49,38.2,38.64,330900.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-07-23,38.74,39.27,38.22,38.81,253000.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-07-24,38.53,39.1,37.6,38.86,256600.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-07-27,38.27,39.22,37.91,39.09,372500.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-07-28,38.97,39.82,37.8,39.6,148600.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-07-29,39.55,40.27,38.41,39.07,214200.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-07-30,39.07,40.28,37.0,37.49,1065200.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-07-31,37.43,38.23,37.43,38.01,525500.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-08-03,37.8,37.8,32.04,32.79,1391873.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-08-04,32.79,32.86,15.09,19.89,8182600.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-08-05,21.0,25.27,20.31,20.75,2802600.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-08-06,20.73,21.28,19.47,20.04,786050.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-08-07,20.04,20.17,16.59,17.77,896700.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-08-10,18.0,19.51,18.0,18.82,902100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-08-11,18.8,19.08,18.0,18.36,719824.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-08-12,17.82,20.29,17.7,19.5,631100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-08-13,19.3,22.97,19.3,22.38,1228900.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-08-14,22.45,22.67,21.13,22.62,695900.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-08-17,22.4,23.64,22.04,23.06,599300.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-08-18,23.15,25.74,23.05,24.12,832400.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-08-19,23.82,24.12,21.86,22.8,499700.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-08-20,22.59,22.81,21.16,21.79,445900.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-08-21,22.05,25.69,22.05,24.3,1126300.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-08-24,22.49,23.89,21.88,22.3,508189.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-08-25,23.33,25.49,21.07,21.34,366900.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-08-26,21.61,22.5,19.94,21.6,735800.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-08-27,21.95,22.35,20.5,21.76,262300.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-08-28,21.47,22.52,20.31,22.49,324700.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-08-31,22.29,24.75,22.02,23.61,446400.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-09-01,23.14,23.26,21.72,22.12,615300.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-09-02,22.34,25.57,22.07,25.03,1028900.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2019-09-03,25.0,27.61,23.91,25.3,666200.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
